TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL
SU26222RMFS8,2021-06-04,102.416,102.416,101.7,101.872,31271
SU26222RMFS8,2021-06-07,101.601,101.87,101.6,101.799,14936
SU26222RMFS8,2021-06-08,101.8,101.8,101.399,101.67,11567
SU26222RMFS8,2021-06-09,101.517,101.659,101.391,101.455,14595
SU26222RMFS8,2021-06-10,101.499,101.62,101.454,101.6,715216
SU26222RMFS8,2021-06-11,101.998,101.998,101.461,101.7,4882
SU26222RMFS8,2021-06-14,101.7,102.143,101.62,101.65,2740
SU26222RMFS8,2021-06-15,101.996,101.996,101.2,101.317,47604
SU26222RMFS8,2021-06-16,101.224,101.497,101.14,101.149,716933
SU26222RMFS8,2021-06-17,101.122,101.362,100.922,101.06,203891
SU26222RMFS8,2021-06-18,101.366,101.369,101.062,101.242,852345
SU26222RMFS8,2021-06-21,101.062,101.498,101.062,101.18,6654
SU26222RMFS8,2021-06-22,101.152,101.26,101.14,101.2,66154
SU26222RMFS8,2021-06-23,101.068,101.5,101.066,101.399,4714
SU26222RMFS8,2021-06-24,101.072,101.499,101.072,101.28,9353
SU26222RMFS8,2021-06-25,101.4,101.495,101.156,101.22,6640
SU26222RMFS8,2021-06-28,101.152,101.797,101.1,101.13,47214
SU26222RMFS8,2021-06-29,101.18,101.18,100.7,100.85,22749
SU26222RMFS8,2021-06-30,101.46,101.46,100.881,100.949,1744
SU26222RMFS8,2021-07-01,100.9,101.061,100.89,100.899,262103
SU26222RMFS8,2021-07-02,100.899,101.008,100.802,100.909,17972
SU26222RMFS8,2021-07-05,101.0,101.0,100.8,100.929,85010
SU26222RMFS8,2021-07-06,100.754,100.99,100.753,100.782,69113
SU26222RMFS8,2021-07-07,100.757,100.959,100.751,100.77,181123
SU26222RMFS8,2021-07-08,100.898,100.955,100.551,100.729,33710
SU26222RMFS8,2021-07-09,100.919,100.919,100.527,100.563,4128
SU26222RMFS8,2021-07-12,100.891,100.891,100.6,100.67,408054
SU26222RMFS8,2021-07-13,100.907,100.907,100.6,100.605,86634
SU26222RMFS8,2021-07-14,100.893,100.899,100.548,100.635,51796
SU26222RMFS8,2021-07-15,100.501,100.956,100.501,100.82,150414
SU26222RMFS8,2021-07-16,100.967,100.97,100.603,100.85,209407
SU26222RMFS8,2021-07-19,100.538,100.851,100.538,100.851,112658
SU26222RMFS8,2021-07-20,100.503,101.0,100.503,100.936,223913
SU26222RMFS8,2021-07-21,100.866,101.379,100.864,101.137,287899
SU26222RMFS8,2021-07-22,101.141,101.424,101.141,101.35,219011
SU26222RMFS8,2021-07-23,101.8,101.8,101.2,101.21,6948
SU26222RMFS8,2021-07-26,101.695,101.695,101.201,101.259,3735
SU26222RMFS8,2021-07-27,101.49,101.657,101.156,101.231,22523
SU26222RMFS8,2021-07-28,101.423,101.427,101.219,101.32,336186
SU26222RMFS8,2021-07-29,101.561,101.562,101.286,101.3,8839
SU26222RMFS8,2021-07-30,101.537,101.537,101.225,101.282,1580
SU26222RMFS8,2021-08-02,101.617,101.617,101.157,101.164,172607
SU26222RMFS8,2021-08-03,101.101,101.403,101.101,101.19,3351
SU26222RMFS8,2021-08-04,101.112,101.37,100.902,100.902,156564
SU26222RMFS8,2021-08-05,101.294,101.299,101.101,101.101,5707
SU26222RMFS8,2021-08-06,101.296,101.299,101.054,101.054,54085
SU26222RMFS8,2021-08-09,101.297,101.297,100.927,101.02,113411
SU26222RMFS8,2021-08-10,101.197,101.197,100.871,100.871,66653
